prompt,image_path
"**<https://s.mj.run/UwTrc85oEKo> stunning beautiful astronaut woman portrait by yildiray cinar, by mike allred, by charlie bowater, by peter mohrbacher, illustration, magical realism, cgsociety, cosmic nebula --uplight** - <@264540572755165184>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_19690.png
"**liquid wooden chainmail ferrofluid:: ultraviolet knight in armour full shot by Annie Leibovitz:: wooden glowing eyes outline:: beautiful golden braided hair:: full body shot:: --no blurry blur bokeh --uplight** - Upscaled (Light, Max) by <@583324108503384065>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_259.png
"**a tranquil lake surrounded by lush trees, a beautiful and adorable house in the center of the lake, moon in the sky, dusk light, anime style, matte, ghibli and Bob Ross, Monet, vibrant, james gilleard, minimalism, ink, matte, rolling mountains in the distance --ar 16:9** - <@979016566094045215> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12975.png
"**<https://s.mj.run/2P8BJa1y0G0> litter of kittens, style 70s psychedelic mushroom art, --iw 2 --aspect 16:9 --fast** - <@873483547866976256> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26724.png
"**<https://s.mj.run/K7Davu2vLfU> Spawn swirled into Knights from Dark Souls within The Angelarium summoning clay sculpture, style by Takayuki Takeya and Ryu Oyama Bestiarum-Miniature, beautiful lighting, in-frame , in-focus, earth and magma-tones colors , inspired by Peter Mohrbacher and Hell Painter | Rendered in Nvidia's Omniverse, 85mm focal length, 2.8 aperture , portrait, Sony a1, 4k post-processing highly detailed sculpture** - <@270316766666686464> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_7871.png
**<https://s.mj.run/x5QOfqIknVo> ugly cyclops by Beksinkski** - <@936947014330122272> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29883.png
"**<https://s.mj.run/dyrTPIag62Q> :: Ivan Aivazovsky style, Ultra detailed, 8k --ar 2:3** - <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_16508.png
"**""Garden of Eden"" by John Stephens, Benoit Mandelbrot, Beeple and Roger Dean | Beautiful detailed ethereal alien paradise garden, alien geometry, peculiar angles, fractal patterns --h 384 --uplight** - Upscaled (Light) by <@939275554539053076>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_13653.png
**<https://s.mj.run/J09aKXQ_wgI> a pigeon wearing a tracksuit in a stop motion movie** - <@522910479941763074>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12730.png
**ugly cyclops by Beksinkski** - <@936947014330122272> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29951.png
"**<https://s.mj.run/a7oY7Hlu2nk> brutalist concrete building abandoned outpost in hazy foggy swamp area, volumetric lighting, depressing, eery, muddy soil, concept art, octane render, artstation, detailed, --ar 2:1** - <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4831.png
"**<https://s.mj.run/m5CTZb68Bow> sargent painting of a man traveling an oriental street in the 1880s, muted colors, artstation, concept art, beautiful lighting, haze, sun, hot, palmtrees, camel, merchants, spice, market, golden light, colorful clothing, --ar 2:1** - Upscaled (Max) by <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_1799.png
"**<https://s.mj.run/E5kPFQ-whjg> detailed product render of a magical crystal powered cyberpunk pocket watch, trending on behance, featured on cgsociety** - <@110859748303192064>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26112.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_28102.png
**graffiti on a wall at the end of a intricate swirling tunnel:: highly detailed fractals and tesselation:: rendered snowflake falling::1.4** - <@583324108503384065>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_3586.png
"**bed time in the monster family, disney art style, cosy room, cute monsters, warm lighting, loving family** - Upscaled by <@298406433605681154> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12729.png
"**beautiful portrait painting of Abigail Spencer, concept art , trending on artstation, by Anton Raphael Mengs** - Upscaled by <@959192950846410812> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23464.png
**two giant ninjas with bright outlines made of glowing particles swordfighting in front of a dark blue night sky full of stars comic book style --seed 345765 --ar 16:9** - <@986250924999733258>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_9105.png
**<https://s.mj.run/gha0oAIIGnw> Cyberpunk robot skull** - Upscaled by <@167082239794872320>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_2253.png
"**<https://s.mj.run/p-39txdvAbg> All blue Victorian garden with hydrangeas, summer vibe, beautiful sunshine, in style of ralph mcquarrie, by Ghibli, by craig mullins --ar 3:4** - Upscaled by <@979016566094045215> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_21863.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_9459.png
"**an abandoned and crumbling dystopian futuristic city with electric signs, shadowy wraiths among the city with glowing eyes, by Dali, unreal engine --aspect 16:9** - <@697301044765655100> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_3629.png
"**<https://s.mj.run/X7BdX3b6vlk> cinematic dark fantasy sorrow lillies thornes clouds rain embers, long dark haired gothic beautiful girl with symetrical features and pale skin, blowing wind --ar 16:19** - <@171319356993699857>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26748.png
"**<https://s.mj.run/Qt_D9VCVoKY> A full body shot of a tabby cat, --iw 1.5 --fast** - <@873483547866976256> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_21610.png
"**""Garden of Eden"" by John Stephens, Benoit Mandelbrot, Beeple and Roger Dean | Beautiful detailed ethereal alien paradise garden, alien geometry, peculiar angles, fractal patterns --h 320 --uplight** - Upscaled (Light) by <@939275554539053076>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_13654.png
**<https://s.mj.run/B9G-sLtX4sU> UN conference room with giant disgusting alien seated in the corner** - Upscaled by <@298406433605681154> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_9442.png
"**<https://s.mj.run/xusVX6foMvQ> character design the banyan tree wrapped around skull cinematic shot nebula octane render realism 8k highly detailed and intricate hd, dynamic lighting,** - <@703784144139976765>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26889.png
"**utopian city on terraces, lots of trees and green, solar powered, windmills, futuristic, white domes, Robert McCall, Syd Mead, John Berkey —ar 16:9** - Upscaled by <@249397224176353281> (metered, fast)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_7369.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_27625.png
"**a logo design for a standup paddle boarding activity company , the name of the company is ""Let's play SUP""** - <@802441290389389362> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_14001.png
"**<https://s.mj.run/IRiwZbCTELo> hissing roaring cat floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field** - Upscaled by <@412798156477169664> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_16576.png
"**wrestlers playing cricket, botticelli** - <@109400117135581184> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_8805.png
"**<https://s.mj.run/MKiUqgrWtjw> A perfect beautiful princess with long straight hair, character concept art, by Peter Mohrbacher and Alphonse Mucha, overwatch, weapon, detailed, style, 8k, trending on artstation, unreal engine 4k, detailed, clean background trending, full shot, symmetrical portrait, sophisticated, Unreal engine, dystopia,anti-utopia, post processing, --aspect 9:16** - <@410392306366283778> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_10447.png
**punks  wedding photos Polaroid 1972 --aspect 4:6** - Upscaled by <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23348.png
"**<https://s.mj.run/xOuOhYKGc5I> A full body shot of a tabby cat, --iw 1.5 --fast** - <@873483547866976256> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26235.png
"**litter of kittens, style 70s psychedelic art, <https://s.mj.run/wny0geU0TdE> --iw 1.2 --aspect 16:9  --fast** - <@873483547866976256> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_26509.png
"**an astronaut riding a colorful carousel, full length, highly detailed, simple composition, simple background** - <@981956077161685083>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_7052.png
"**<https://s.mj.run/CAt92Qrw06I> girl playing with a balloon next to a river in 50s black and white vintage photo shot close up from over the shoulder, water::10, girl::10, --ar 4:3** - Upscaled by <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_2095.png
"**mandala, magic circle, cave** - Upscaled by <@109400117135581184> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_5242.png
**artwork by Bayard Wu** - <@264540572755165184>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_585.png
"**<https://s.mj.run/E7TmlA2t1fY> spell casting, girl , soccerres, witch, lightning , chaos , water standing , reflection , beautiful, brocade , wind, long hair, bird flying, by james gurney, wes burt, craig mullins, edmund blair leighton, insanely detail and intricate, matte painting, cinematic, artstation trending, cgsociety, dark fantasy, dark soul 3, dark soul , from software , dark purple—ar 16:9 —uplight —no blur** - Upscaled (Light, Max) by <@958942713489801246>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_21718.png
"**<https://s.mj.run/_uh30Cg9dAg> texture image, science fiction, wall, steel plates, by craig mullins and jeff simpson** - Upscaled (Max) by <@979434359016783942>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_19061.png
"**<https://s.mj.run/U9RgVSx2tdA> stage with oriental laboratory silver panes glass ,fearther carpet wood stone steel Porcelain raw concrete salvia patens roof sand lake water oval mirror steel, screen transparent** - <@989167810947198976>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29749.png
"**<https://s.mj.run/RdBOk85isHY> stunning devil of hell:: photography of a demon wrapped in a silk sarong in the wind, anime waifu style character, clean soft lighting, backlit beautiful face, clean brush stroke, 8k character concept art, by WLOP and artgerm, 3d, --seed 200** - <@688517415285555389>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_25228.png
"**utopian city on terraces, lots of trees and green, solar powered, windmills, futuristic, white domes, Robert McCall, Syd Mead, John Berkey —ar 16:9** - <@249397224176353281> (metered, fast)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_7321.png
**60s liquid light show projections colors running together smeary smearing glowing deep color palette outer space stars planets nebula moebius jack kirby steve ditko 70s comic book art background  --no faces --aspect 21:9** - Upscaled (Max) by <@986404200177094667> (relaxed),D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_13702.png
**artwork by scott kolins** - <@949534248996585472>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23340.png
"**a sup,top view ,white back ground** - <@802441290389389362> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_12094.png
"**<https://s.mj.run/x72d7FRCWFw> black paper::3 zodiac tarot::3 ancient egyptian::2 cyberpunk ::4 portrait, photographic, artgerm, depth of field :: white ink, intricate complexity, unreal engine::1 --ar 9:16 --uplight** - <@63432180038119424>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_28110.png
"**<https://s.mj.run/wPtlYH4VxTI> star wars jedi walking towards the mountains in a stone desert, closeup shot, 100mm lens, shoulders and head, cinematic, octane render, hyper realistic, dramatic lighting, haze, red accents, earthy colors, artstation, concept art, —ar 21:9** - <@522910479941763074>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_5551.png
"**<https://s.mj.run/6iFWjREUFxU> 'urua', logo design, embera** - Upscaled by <@758272529683972099> (metered, fast)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_23781.png
"**<https://s.mj.run/28j_BFxs8gU> Crown from Statue of Liberty, octane render, viewed from below** - <@986608412060172289>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_29379.png
**donald trump is jesus** - Upscaled by <@522910479941763074>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_17339.png
"**<https://s.mj.run/cXcGalrBi9s> a beautiful rainforest surrounded by vibrant clouds, sun scattered in the forest, muted color, rays of sun shining through forest, by Studio Ghibli, Makoto Shinkai, Hayao Miyazaki, Ian McQue and Christian Rivers, 400mm photography, hyper detailed, cinematic, bright and clean --ar 16:9** - <@979016566094045215> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_22484.png
**<https://s.mj.run/6YBczy7mh2Y> cybercity in the rain at night** - <@981290571672985611>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_25996.png
"**the crystal man, man made out of crystal, geometric, sci-fi, whites and blues, by Karel Thole and Mike Mignola** - Upscaled by <@977252506335858758> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_1819.png
**Scene from a play by William Kentridge.  Ghostbusters.  Publicity Photo. Color Photo.  Large Puppets operated by crew. The Crysler building in a thunderstorm. Panoramic Shot. Scenography of the year.** - Upscaled by <@673538751275859989>,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_17369.png
"**<https://s.mj.run/y_OWPh9YlvQ> ghostly psychedelic fractal clouds in night sky over bubbling black oil sea, Egyptian funerary boat, mist, cinematic, establishing shot, 8k, octane render :: orange, teal :: --ar 4:3** - Upscaled by <@713319244347211797>",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_25167.png
"**<https://s.mj.run/d3Eem7PowSQ> hissing cat with many eyes floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field** - <@412798156477169664> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_18125.png
"**<https://s.mj.run/ahurbeNA00c> cats with many eyes floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field --aspect 1:2** - Upscaled (Max) by <@412798156477169664> (relaxed)",D:\My Work - Personal\Genevieve\Preprocessed\Sorted\512x512\image_4512.png
