prompt,image_filename,image_path
**mandala mars** - Upscaled by <@109400117135581184> (relaxed),image_5341.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5341.png
**AI glitch art glitches everywhere organic ethereal beautiful hues --no frame** - Upscaled (Max) by <@200721073044586499>,image_3099.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3099.png
**demon::10000 by Akira Toriyama::10000 --ar 2:3 --stop 80** - <@688517415285555389>,image_24018.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_24018.png
**<https://s.mj.run/fE-eBzUxGCI> --h 384 --uplight** - Upscaled (Light) by <@939275554539053076>,image_13442.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_13442.png
**new stage design by Gerhard Richter** - <@673538751275859989> (relaxed),image_5532.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5532.png
"**<https://s.mj.run/dd3G1CEsCDo> cats covered with many glowing eyes, floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field --aspect 3:1** - <@412798156477169664> (metered, fast)",image_1278.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_1278.png
"**<https://s.mj.run/VKl0MrA_i9g> long wavy twisting cat floating in colorful glowing swirling whisps, emerging from the void, shallow depth of field, occult inspired, cosmic horror, chaos magic --ar 10:45** - <@412798156477169664> (relaxed)",image_28047.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_28047.png
"**<https://s.mj.run/O_kL35uDALY> despair in america, high octane render --ar 16:9** - <@981956077161685083>",image_23142.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_23142.png
**buddhist punk planet** - Upscaled by <@109400117135581184> (relaxed),image_5476.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5476.png
**<https://s.mj.run/RVs8gOwVDy0> astronaut eclipsed by golden sun** - <@601909449883648022> (relaxed),image_24378.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_24378.png
**glitch art futuristic glitches everywhere** - <@200721073044586499>,image_3093.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3093.png
**test --ar 16:9** - <@556306140879650827>,image_16541.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_16541.png
**<https://s.mj.run/rMRSDD5RhaE> liquid wooden chainmail ferrofluid:: ultraviolet mage in armour full shot by Annie Leibovitz:: wooden glowing eyes outline:: beautiful neon green braided hair:: full body shot:: --no blurry blur bokeh --uplight** - <@583324108503384065>,image_236.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_236.png
**AI glitch art glitches everywhere organic ethereal beautiful hues --no frame** - Upscaled (Max) by <@200721073044586499>,image_3101.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3101.png
"**A beautiful, long-haired female japanese cyborg with half a skull face photographed by Henry Miller full body shot --ar 9:16** - <@986250924999733258>",image_8988.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_8988.png
"**<https://s.mj.run/zvYIgzxdw8I> first person shooter video game perspective shooting weapon, walking thorough dark tunnel, looks like half life game, brutalism, dark lighting, depressing, thick smoke, creatures with glowing eyes attacking, volumetric fog, orange accent, artstation, red light, --ar 16:9** - Upscaled by <@522910479941763074>",image_1290.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_1290.png
"**<https://s.mj.run/R-I-H1SVzts> beautifully sculpted marble demon, photorealism, Michelangelo, highly intricate detail --ar 9:16** - Upscaled by <@425798861680934943>",image_3072.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3072.png
"**<https://s.mj.run/LSuQs83-gIg> swirling vortex of melting bones and ornate golden filigree, ethereal off whites colors, inspired by Peter Mohrbacher, in the style of Ryu Oyama, Rendered in Nvidia's Omniverse, 85mm focal length, 2.8 aperture , portrait, Sony a1, 4k, post-processing, highly detailed sculpture, --w 512 --h 3584** - <@277334971394424833> (relaxed)",image_3091.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3091.png
**artwork by nathan coley** - <@556306140879650827>,image_16816.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_16816.png
"**<https://s.mj.run/OejZm41pBd0> old man sculpting a gigantic robot made from marble, beautiful lighting, sculpting inside a large impressive studio, renaissance architecture, calm atmosphere** - <@361445656239407105> (relaxed)",image_5607.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5607.png
**<https://s.mj.run/i0I3I4b5Hhk> daguerreotype of miss piggy** - <@981956077161685083>,image_18574.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_18574.png
"**<https://s.mj.run/EYlAxLXZ7GU> full shot, an alluring masked female woodland sprite,setting bioluminescent jungle, flowers, octane rendered, 8k uhd, hyper realistic, extremely detailed, dim cinematic lighting, --ar 16:9** - Upscaled by <@423504418445590529> (relaxed)",image_24492.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_24492.png
**Bernie sanders as gandalf** - Upscaled by <@78278709370433536>,image_154.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_154.png
**<https://s.mj.run/-9IqGeuL_yk> a giant peach:: made of bricks:: miniature graffiti tags::** - Upscaled (Max) by <@583324108503384065>,image_7201.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_7201.png
"**<https://s.mj.run/t6TcB0dUFFY> wide shot, a futuristic city all skyscrapers made out of wood, wooden victorian skyscrapers, unreal engine rendered, 8k, cinematic lighting,** - Upscaled (Max) by <@423504418445590529> (metered, fast)",image_11948.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_11948.png
"**<https://s.mj.run/bgEkGs9Q1Uk> liquid wooden chainmail ferrofluid:: ultraviolet mage in armour full shot by Annie Leibovitz:: wooden glowing eyes outline:: beautiful neon green braided hair:: full body shot:: --no blurry blur bokeh --uplight** - Upscaled (Light, Max) by <@583324108503384065>",image_167.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_167.png
"**A complex technological jungle, with machine plants** - <@167082239794872320>",image_2336.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_2336.png
"**<https://s.mj.run/8NTMzYSalVE> first person shooter video game perspective aiming weapon at ghost far away, walking thorough dark tunnel, looks like half life game, brutalism, dim lighting, depressing, thick smoke, creatures with glowing eyes attacking, --ar 16:9** - Upscaled by <@522910479941763074>",image_1314.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_1314.png
**flying bear wing --hd --wallpaper** - <@291402929540300800>,image_5600.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5600.png
"**gears and wires, sci-fi, brutalist, by Karel Thole and Mike Mignola** - Upscaled by <@977252506335858758> (relaxed)",image_1288.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_1288.png
"**<https://s.mj.run/6vqj70DNYGo> a jazz band of penguins playing in a dive bar in front of a crowd of other animals, stagelighting::5, energy::10, red::10, smoke:5** - Upscaled by <@522910479941763074>",image_2329.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_2329.png
"**<https://s.mj.run/Pko-TLQHdLQ> wacky waving inflatable tube man, danny devito --uplight** - Upscaled (Light) by <@109400117135581184> (relaxed)",image_5635.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_5635.png
**1970s Howard Johnsons exterior 1979 1978 1977 1976 1975 1974 1973 Pizza Hut exterior Wienerschnitzel exterior retro futurism raygun Gothic style Fast food chain restaurant exterior angular futuristic impossible architecture strange worn out dumpy tacos taco chain 1970s 70s chaos randomness Ghibli Architectural Elevation  --aspect 19:9** - <@986404200177094667> (relaxed),image_3144.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_3144.png
"**<https://s.mj.run/VcUlgccKHTE> long wavy twisting cat floating in colorful glowing swirling whisps, emerging from the void, shallow depth of field, occult inspired, cosmic horror, chaos magic --ar 10:45** - <@412798156477169664> (relaxed)",image_28046.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_28046.png
"**Black and white  vintage footage of biohazard workers, pov, 35mm, high contrast, dynamic lightning, anti-zenithal highlight, cinematic footage, Denis Zhbankov, trending on artstation, --ar 16:9** - Upscaled by <@270316766666686464> (relaxed)",image_7203.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_7203.png
"**<https://s.mj.run/D9Rs_jUnaKo> waist up, halfbody of a young handsome man, barebacked , white hair,dragon fly out from his shoulder, dark soul, Demon soul , handsome,lean face, male, insanely detailed and intricate, golden ratio,hypermaximalist, matte painting, cinematic, epic, cgsociety, james jean, Brian froud, ross tran, Laputa,Ruan jia, Crow god , Irakli Nadar, Huang Guangjian —ar 16:9 —uplight —no blur** - <@958942713489801246>",image_16063.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_16063.png
**Samantha Fish band illustration Main Street comic 1970’s --ar 8:11** - Upscaled by <@959192950846410812> (relaxed),image_19585.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_19585.png
**<https://s.mj.run/acBNQqlwfJs> astronaut eclipsed by golden sun** - Upscaled by <@601909449883648022> (relaxed),image_24377.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_24377.png
**vintage portrait skull makeup** - Upscaled (Max) by <@688517415285555389>,image_19584.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1536x1536\image_19584.png
