prompt,image_filename,image_path
**<https://s.mj.run/gH0TtgqbAfo> --ar 9:16** - Upscaled by <@713319244347211797> (relaxed),image_1000.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1000.png
"**<https://s.mj.run/f7b1sjGjrKc> a soul transcending, 5d, hyperspace, 8k, unreal engine rendered, --ar 9:24** - Upscaled (Max) by <@423504418445590529> (relaxed)",image_1010.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1010.png
"**<https://s.mj.run/f7b1sjGjrKc> a soul transcending, 5d, hyperspace, 8k, unreal engine rendered, --ar 9:24** - Upscaled (Max) by <@423504418445590529> (relaxed)",image_1011.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1011.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",image_10303.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10303.png
"**<https://s.mj.run/QIgF9-KsZaU> cats with many eyes floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field --aspect 3:1** - Upscaled by <@412798156477169664> (relaxed)",image_1033.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1033.png
"**a wide-angle shot from below of a confident dingo man dj striding toward the camera, muscular body, swagger, concert stage background : : digital artwork --ar 5:7** - <@886628494820376646>",image_10428.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10428.png
**<https://s.mj.run/FVBqsTak6y4> Luchador El Santo wrestler in the style of botticelli birth of venus** - <@981943289307598909>,image_10429.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10429.png
**<https://s.mj.run/bhCu9IUfDdU> Luchador El Santo wrestler in the style of botticelli birth of venus** - <@981943289307598909>,image_10430.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10430.png
"**a wide-angle shot from below of a confident dingo man dj striding toward the camera, concert stage background : : digital artwork --ar 5:7** - <@886628494820376646>",image_10431.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10431.png
**Luchador El Santo wrestler in the style of botticelli birth of venus** - <@981943289307598909>,image_10432.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10432.png
"**<https://s.mj.run/xPoSUAeXFcQ> cat with many eyes floating in colorful glowing swirling whisps, occult inspired, emerging from the void, shallow depth of field** - <@412798156477169664> (relaxed)",image_10434.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10434.png
**mad scientist laboratory | 1977 1972 | maximalist | detailed | retro futuristic technology | Frankenstein laboratory interior | weird shapes | beakers electronic transformer | Van de Graaff Generators huge | wires test tubes Petri dishes microscopes experiments experimental technology jack kirby highly detailed environment | dark mysterious dramatic lighting 9:16** - <@986404200177094667> (relaxed),image_10435.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10435.png
"**Gothic Cathedral  with shaft of light coming from the ceiling, interior, huge scale, fantasy concept art by florent lebrun, artstation keyframe, 8k --hd --aspect 4:3** - Upscaled (Max) by <@697952713958227998> (relaxed)",image_10439.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10439.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",image_10440.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10440.png
"**metamorphic rock , realistic, trending on artstation, detailed, redshift render.** - Upscaled (Max) by <@685128697766084728>",image_1061.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1061.png
**speaker | woofer | tweeter | PA system | Marantz | Klipsch | JBL | Studio Monitors | retro futuristic | coral shaped | organic shapes | seashell | Blob |  asymmetrical weird bizarre unique one of a kind raygun gothic style highly detailed environment depth perspective octane render photo realism hyper realism prop design --aspect 9:12** - Upscaled by <@986404200177094667> (relaxed),image_10657.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10657.png
"**The Corona Beer logo** - Upscaled by <@167082239794872320> (metered, fast)",image_10815.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10815.png
"**<https://s.mj.run/N99BQuK7eVY> :: oil painting, ultra realistic, Ultra detailed, 8k --ar 16:9** - Upscaled by <@713319244347211797>",image_10827.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10827.png
"**A space colony on an asteroid floating in space, | jack kirby | Bill sienkiewicz | retro futurism | raygun gothic style | ghibli matte painting | wide shot | establishing shot | you can see the outline of the entire asteroid space colony --aspect 19:9** - <@986404200177094667> (relaxed)",image_10828.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10828.png
"**A space colony on an asteroid floating in space, | jack kirby | Bill sienkiewicz | retro futurism | raygun gothic style | ghibli matte painting | --aspect 19:9** - Upscaled (Max) by <@986404200177094667> (relaxed)",image_10833.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10833.png
"**A space colony on an asteroid floating in space, | jack kirby | Bill sienkiewicz | retro futurism | raygun gothic style | ghibli matte painting | --aspect 19:9** - Upscaled (Max) by <@986404200177094667> (relaxed)",image_10836.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10836.png
"**<https://s.mj.run/lzlL64n6Nbg> , acrylic painting , Ultra detailed, 8k --ar 16:9** - <@713319244347211797>",image_10837.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10837.png
"**<https://s.mj.run/jAtAvsX-vT0> , acrylic painting , Ultra detailed, 8k --ar 16:9** - <@713319244347211797>",image_10840.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10840.png
"**Artificial Intelligence brand logo** - <@167082239794872320> (metered, fast)",image_10842.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10842.png
"**<https://s.mj.run/N99BQuK7eVY> :: oil painting, ultra realistic, Ultra detailed, 8k --ar 16:9** - Upscaled by <@713319244347211797>",image_10843.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10843.png
"**<https://s.mj.run/IseSHgqIa0M> , acrylic painting , Ultra detailed, 8k --ar 16:9** - <@713319244347211797>",image_10845.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10845.png
"**<https://s.mj.run/WRZzYiu0qlc> < utopian city on terraces, lots of trees and green, solar powered, futuristic, white domes, Getty Museum, Calatrava, Zaha Hadid, Iris Van Herpen, Robert McCall, Syd Mead, John Berkey —ar 16:9** - <@249397224176353281> (metered, fast)",image_11090.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_11090.png
"**a viking warrior epic landscape painting mountain range concept art realistic character concept art 4K symmetrical portrait, character --ar 16:8** - <@959192950846410812> (relaxed)",image_11228.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_11228.png
<@700727870536024065>,image_11461.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_11461.png
**<https://s.mj.run/uTCyXWvEZWA> shining in night sky above city as beacon of hope** - <@748270788125261924>,image_11575.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_11575.png
**Sierpiński triangle pyramids of Egypt** - <@583324108503384065>,image_11756.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_11756.png
"**<https://s.mj.run/sDn3uBXhScw> tomorrowland city green grass and trees terraces utopian gigantic tower gleaming on the horizon reaching to space blue sky with ghibli clouds —ar 2:1** - <@249397224176353281> (metered, fast)",image_12139.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_12139.png
"**<https://s.mj.run/tw6Up74EAt4> Iterated system fractal, fractal cat, sprouting new fractal cats, Apophysis AV, denoised, Anti Aliased, palette of greens, purples, gold and silver, background mysterious luminescent forest, UHD, DoF wide --aspect 1:4 --fast** - <@873483547866976256> (relaxed)",image_12152.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_12152.png
"**dangerous futuristic obsticle course with tiny robats on a platform, close up,  highly realistic, tiny dedtails, rube goldburg, stream punk** - <@982036578417410049>",image_12182.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_12182.png
