prompt,image_filename,image_path
**<https://s.mj.run/orKlcvHG3Ag> massive fractal spiderweb spanning across a jungle road:: massive fractal spiderweb with cars caught in it:: cars caught in spiderweb by James paik:: jungle road photograph by Annie Leibovitz::1.4 glowing fibrosis:: --ar 9:16** - Upscaled (Max) by <@583324108503384065>,image_1420.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1420.png
"Progress images have been disabled. Don't worry, the results will still be sent when it completes.",image_23148.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_23148.png
"**accident of alien spaceships on the highway, smoke, sunset, highly detailed and intricate, hyper realistic, yellow and blue, sci fi, artstation, octane render, 8k --ar 7:5** - Upscaled by <@382289069012680704> (relaxed)",image_26367.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_26367.png
"**<https://s.mj.run/vuwUKm3xEJk> bonsai tree growing through a human skull, hyperrealism, 8k, ultrahd, cinematic, moody,Octane Render Substance Designer --ar 21:9** - <@703784144139976765>",image_26353.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_26353.png
"**<https://s.mj.run/bWHllfQJp4Y> A beautiful realistic clear mysterious forest with prismatic statues and objects lying around it, plus there is a beautiful breathtaking ruin from which dark little creatures come out with glowing red eyes, Fantasy Forest, colorfull, realistic, Ultra realistic, Detailed, Trendy on artstation, —aspect 3:4** - Upscaled by <@264159385700401153> (relaxed)",image_17143.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_17143.png
"**<https://s.mj.run/1OQBFGN2NW0> A full body shot of a tabby cat, --iw 1.5 --fast** - <@873483547866976256> (relaxed)",image_27363.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_27363.png
lol,image_29280.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_29280.png
"**concept art of monoliths in middle of desolation, dust landscape wide angle, trending on artstation, 8k --w 3840 --h 1646** - Upscaled by <@697952713958227998> (relaxed)",image_19016.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_19016.png
**<https://s.mj.run/FVBqsTak6y4> Luchador El Santo wrestler in the style of botticelli birth of venus** - <@981943289307598909>,image_10429.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_10429.png
"**<https://s.mj.run/VFGdVwvNiRE> stunning devil of hell:: photography of a demon wrapped in a silk sarong in the wind, anime waifu style character, clean soft lighting, backlit beautiful face, clean brush stroke, 8k character concept art, by WLOP and artgerm, 3d, --ar 2:3 --stop 80 --no white --iw 500** - Upscaled (Max) by <@688517415285555389>",image_24732.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_24732.png
"****a set of chinese dragon ,designer toy, art toy ,in stylized style, pixar style, --ar 16:9** - <@802441290389389362> (relaxed)",image_20117.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_20117.png
**<https://s.mj.run/87zP_8RMXGM> beautiful cyclops with horns by Beksinkski** - <@936947014330122272> (relaxed),image_29413.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_29413.png
"**<https://s.mj.run/wnSCCDD6YJM> shintaesub, Chuu Chloe, portrait , beautiful girl , cyborg , tri angle shape on face, godlen details, cyber punk , clockwork , old machine , tatoos, pinterest, insanely detail and intricate, matte painting, cinematic, dream of doll ducan , artstation trending, cgsociety, Ruan Jia , Huang Guangjian —ar 2:3 —uplight —no blur** - Upscaled (Light) by <@958942713489801246>",image_22166.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_22166.png
**a logo for standup paddle boarding** - <@802441290389389362> (relaxed),image_14223.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_14223.png
**<https://s.mj.run/n5W76j66tyk> An AI living in the cosmos** - Upscaled by <@167082239794872320> (relaxed),image_4392.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_4392.png
"**<https://s.mj.run/VhbJ4y983P0> character design the banyan tree wrapped around skull cinematic shot nebula octane render realism 8k highly detailed and intricate hd, dynamic lighting,** - Upscaled by <@703784144139976765>",image_26833.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_26833.png
**furby beadwork sequins** - Upscaled by <@986404200177094667> (relaxed),image_5843.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_5843.png
"**<https://s.mj.run/DixXoIGU9Pc> die cut sticker , a cute girl on the sup** - <@802441290389389362> (relaxed)",image_26865.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_26865.png
Michelangelo’s david with a cat head —ar 9:19,image_22926.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_22926.png
"**<https://s.mj.run/f7b1sjGjrKc> a soul transcending, 5d, hyperspace, 8k, unreal engine rendered, --ar 9:24** - Upscaled (Max) by <@423504418445590529> (relaxed)",image_1011.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_1011.png
"**Joe Biden as a fetus, umbilical cord, by Karel Thole  --ar 2:3** - <@977252506335858758> (relaxed)",image_22811.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_22811.png
"**a set of snake ,designer toy, art toy ,in stylized style, pixar style, --ar 16:9** - <@802441290389389362> (relaxed)",image_27801.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_27801.png
"**<https://s.mj.run/MWIWJnAKOFw> **an oil painting of the endless vast cosmos, opening of the sun revealing a destruction of the soul, the mind is radiant but scared, everything that exists is an experience that can be felt but not seen, the eye in the middle speaks words of wisdom, let it be by Ivan Aivazovsky , film grain, film texture** - <@292227864336531456>",image_5893.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_5893.png
"**<https://s.mj.run/RYo5XKvdEPA> beautiful woman, tied by many roots, anicent trees , Dark Soul 3, Dark Soul, Dark Fantasy, Ruan Jia, Artstation trending , artstation by Krenz Cushart, 4k resolution, cinematic ,insanely detail and intricate, matte painting, cinematic, artstation trending, cgsociety, by james gurney, wes burt, craig mullins, edmund blair leighton —ar 1:2 —uplight —no blur** - <@958942713489801246>",image_27126.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_27126.png
"**<https://s.mj.run/RzfJ-y43Byk> a hawk wearing military uniform inspects his troops before a battle, ww2 style clothing** - <@298406433605681154> (relaxed)",image_12746.png,D:\My Work - Personal\Genevieve\Preprocessed\Sorted\1664x1664\image_12746.png
